"Loja","Iteracao","Modelo","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","MAE_ARIMA","NMAE_ARIMA","RMSE_ARIMA","RRSE_ARIMA","R2_ARIMA","MAE_Naive","NMAE_Naive","RMSE_Naive","RRSE_Naive","R2_Naive"
"Philadelphia",2,"ARIMA(3,0,1)","2012-07-01","2014-03-29",637,"2014-03-30","2014-04-05",7,74.6715,4.4106,76.2218,121.3084,-0.4716,24.7143,1.4598,29.6142,47.1315,0.7779
"Philadelphia",3,"ARIMA(3,0,1)","2012-07-01","2014-04-05",644,"2014-04-06","2014-04-12",7,74.7371,4.4145,83.6708,113.5026,-0.2883,20.1429,1.1898,23.1301,31.3768,0.9015
"Philadelphia",4,"ARIMA(3,0,1)","2012-07-01","2014-04-12",651,"2014-04-13","2014-04-19",7,71.9258,4.2484,84.8041,101.6804,-0.0339,53,3.1305,62.1254,74.4886,0.4451
"Philadelphia",5,"ARIMA(3,0,1)","2012-07-01","2014-04-19",658,"2014-04-20","2014-04-26",7,81.7722,4.83,106.3979,166.8436,-1.7837,64.2143,3.7929,100.2,157.1246,-1.4688
"Philadelphia",6,"ARIMA(3,0,1)","2012-07-01","2014-04-26",665,"2014-04-27","2014-05-03",7,79.6521,4.7048,86.6061,133.1357,-0.7725,32.3571,1.9112,39.2979,60.4108,0.6351
"Philadelphia",7,"ARIMA(3,0,1)","2012-07-01","2014-05-03",672,"2014-05-04","2014-05-10",7,82.8206,4.8919,89.8341,126.7526,-0.6066,12,0.7088,14.938,21.0769,0.9556
"Philadelphia",8,"ARIMA(3,0,1)","2012-07-01","2014-05-10",679,"2014-05-11","2014-05-17",7,60.0165,3.545,69.8289,106.6694,-0.1378,21.1429,1.2488,24.101,36.8163,0.8645
"Philadelphia",9,"ARIMA(3,0,1)","2012-07-01","2014-05-17",686,"2014-05-18","2014-05-24",7,194.4895,11.4879,412.8071,102.9805,-0.0605,165,9.746,387.3487,96.6296,0.0663
"Philadelphia",10,"ARIMA(3,0,1)","2012-07-01","2014-05-24",693,"2014-05-25","2014-05-31",7,118.1646,6.9796,171.6455,43.0465,0.8147,413.8571,24.4452,603.7375,151.4095,-1.2925
"Philadelphia",11,"ARIMA(3,0,1)","2012-07-01","2014-05-31",700,"2014-06-01","2014-06-07",7,90.3977,5.3395,104.6946,246.4575,-5.0741,264.5714,15.6274,470.7717,1108.2257,-121.8164
"Philadelphia",12,"ARIMA(3,0,1)","2012-07-01","2014-06-07",707,"2014-06-08","2014-06-14",7,71.424,4.2188,77.7577,150.1347,-1.254,11.7143,0.6919,15.538,30.0007,0.91
"Richmond",1,"ARIMA(3,0,1)","2012-07-01","2014-03-22",630,"2014-03-23","2014-03-29",7,24.8587,4.1709,27.3712,145.5938,-1.1198,6.1429,1.0307,7.2408,38.5153,0.8517
"Richmond",2,"ARIMA(3,0,1)","2012-07-01","2014-03-29",637,"2014-03-30","2014-04-05",7,27.2353,4.5697,28.5541,161.7404,-1.616,7,1.1745,8.6767,49.1481,0.7584
"Richmond",3,"ARIMA(3,0,1)","2012-07-01","2014-04-05",644,"2014-04-06","2014-04-12",7,27.2061,4.5648,29.6493,142.9136,-1.0424,5.7143,0.9588,6.5683,31.6602,0.8998
"Richmond",4,"ARIMA(3,0,1)","2012-07-01","2014-04-12",651,"2014-04-13","2014-04-19",7,23.5958,3.959,24.9804,106.2296,-0.1285,14.8571,2.4928,17.4929,74.3886,0.4466
"Richmond",5,"ARIMA(3,0,1)","2012-07-01","2014-04-19",658,"2014-04-20","2014-04-26",7,29.8603,5.0101,36.059,195.4752,-2.8211,19.5714,3.2838,31.877,172.8047,-1.9861
"Richmond",6,"ARIMA(3,0,1)","2012-07-01","2014-04-26",665,"2014-04-27","2014-05-03",7,28.8337,4.8379,31.6778,173.2062,-2,10.7143,1.7977,11.8984,65.0574,0.5768
"Richmond",7,"ARIMA(3,0,1)","2012-07-01","2014-05-03",672,"2014-05-04","2014-05-10",7,29.613,4.9686,32.2365,162.2622,-1.6329,3.2857,0.5513,4.2929,21.6081,0.9533
"Richmond",8,"ARIMA(3,0,1)","2012-07-01","2014-05-10",679,"2014-05-11","2014-05-17",7,22.9312,3.8475,26.0158,143.3542,-1.055,6,1.0067,6.7188,37.0227,0.8629
"Richmond",9,"ARIMA(3,0,1)","2012-07-01","2014-05-17",686,"2014-05-18","2014-05-24",7,59.9027,10.0508,112.1442,100.8167,-0.0164,45.8571,7.6942,107.5367,96.6746,0.0654
"Richmond",10,"ARIMA(3,0,1)","2012-07-01","2014-05-24",693,"2014-05-25","2014-05-31",7,37.9905,6.3742,47.9571,43.2956,0.8125,115,19.2953,167.7494,151.4439,-1.2935
"Richmond",11,"ARIMA(3,0,1)","2012-07-01","2014-05-31",700,"2014-06-01","2014-06-07",7,34.1021,5.7218,36.8469,312.7381,-8.7805,73.5714,12.3442,130.7992,1110.158,-122.2451
"Richmond",12,"ARIMA(3,0,1)","2012-07-01","2014-06-07",707,"2014-06-08","2014-06-14",7,26.2519,4.4047,28.9415,201.3856,-3.0556,3.4286,0.5753,4.4401,30.8957,0.9045
