"Loja","Date","Real","Previsto_ARIMA","Previsto_SNaive","Erro_Absoluto_ARIMA","Erro_Absoluto_SNaive"
"Philadelphia",2014-06-08,230,274.38,225,44.38,5
"Philadelphia",2014-06-09,144,273.45,144,129.45,0
"Philadelphia",2014-06-10,154,241.61,172,87.61,18
"Philadelphia",2014-06-11,168,240.97,168,72.97,0
"Philadelphia",2014-06-12,154,234.98,164,80.98,10
"Philadelphia",2014-06-13,211,238.07,182,27.07,29
"Philadelphia",2014-06-14,298,240.49,278,57.51,20
