"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","Modelo","Variante","MAE","NMAE","RRSE","R2","Naive_MAE","Naive_NMAE","Naive_RRSE"
"Philadelphia",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"HoltWinters","Aditiva",46.3342,2.7368,73.7798,0.4557,12,0.7088,21.0769
"Philadelphia",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"HoltWinters","Aditiva",58.267,3.4416,100.1884,-0.0038,21.1429,1.2488,36.8163
"Philadelphia",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"HoltWinters","Aditiva",217.9043,12.8709,99.21,0.0157,165,9.746,96.6296
"Philadelphia",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"HoltWinters","Aditiva",535.1591,31.6101,145.7379,-1.124,413.8571,24.4452,151.4095
"Philadelphia",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"HoltWinters","Aditiva",86.7833,5.126,239.6192,-4.7417,264.5714,15.6274,1108.2257
"Philadelphia",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"HoltWinters","Aditiva",101.6226,6.0025,214.3217,-3.5934,11.7143,0.6919,30.0007
"Richmond",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"HoltWinters","Aditiva",24.807,4.1622,149.915,-1.2475,6.1429,1.0307,38.5153
"Richmond",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"HoltWinters","Aditiva",14.996,2.5161,103.1734,-0.0645,7,1.1745,49.1481
"Richmond",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"HoltWinters","Aditiva",22.2626,3.7353,117.3802,-0.3778,5.7143,0.9588,31.6602
"Richmond",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"HoltWinters","Aditiva",30.1001,5.0504,144.2408,-1.0805,14.8571,2.4928,74.3886
"Richmond",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"HoltWinters","Aditiva",18.7665,3.1487,168.0506,-1.8241,19.5714,3.2838,172.8047
"Richmond",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"HoltWinters","Aditiva",10.7399,1.802,65.506,0.5709,10.7143,1.7977,65.0574
"Richmond",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"HoltWinters","Aditiva",16.2473,2.7261,93.5496,0.1248,3.2857,0.5513,21.6081
"Richmond",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"HoltWinters","Aditiva",20.1985,3.389,125.3586,-0.5715,6,1.0067,37.0227
"Richmond",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"HoltWinters","Aditiva",64.4702,10.8171,99.5712,0.0086,45.8571,7.6942,96.6746
"Richmond",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"HoltWinters","Aditiva",145.0334,24.3345,140.7794,-0.9819,115,19.2953,151.4439
"Richmond",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"HoltWinters","Aditiva",26.264,4.4067,256.1425,-5.5609,73.5714,12.3442,1110.158
"Richmond",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"HoltWinters","Aditiva",29.0207,4.8692,222.7911,-3.9636,3.4286,0.5753,30.8957
