"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","Modelo","Variante","MAE","NMAE","RRSE","R2"
"Baltimore",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"HoltWinters","Aditiva",42.0092,3.8611,162.0182,-1.625
"Baltimore",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"HoltWinters","Aditiva",29.0249,2.6677,123.5583,-0.5267
"Baltimore",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"HoltWinters","Aditiva",38.9255,3.5777,131.2383,-0.7223
"Baltimore",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"HoltWinters","Aditiva",51.7763,4.7589,161.5555,-1.61
"Baltimore",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"HoltWinters","Aditiva",36.5579,3.3601,181.3605,-2.2892
"Baltimore",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"HoltWinters","Aditiva",22.7811,2.0939,89.3073,0.2024
"Baltimore",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"HoltWinters","Aditiva",30.0563,2.7625,114.4936,-0.3109
"Baltimore",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"HoltWinters","Aditiva",37.0079,3.4015,147.7725,-1.1837
"Baltimore",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"HoltWinters","Aditiva",104.2231,9.5793,99.7951,0.0041
"Baltimore",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"HoltWinters","Aditiva",217.7295,20.0119,136.731,-0.8695
"Baltimore",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"HoltWinters","Aditiva",43.6497,4.0119,273.0644,-6.4564
"Baltimore",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"HoltWinters","Aditiva",46.6273,4.2856,241.2059,-4.818
"Lancaster",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"HoltWinters","Aditiva",60.5494,3.2518,194.9837,-2.8019
"Lancaster",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"HoltWinters","Aditiva",50.2863,2.7007,169.4557,-1.8715
"Lancaster",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"HoltWinters","Aditiva",56.6115,3.0404,159.1149,-1.5318
"Lancaster",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"HoltWinters","Aditiva",73.4086,3.9425,192.3128,-2.6984
"Lancaster",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"HoltWinters","Aditiva",67.9976,3.6519,198.8751,-2.9551
