"Run","Lucro"
1,15298
2,16298
3,15778
4,14938
5,15668
6,15205
7,14551
8,14539
9,15103
10,14526
11,16501
12,16384
13,15698
14,15995
15,15601
16,16640
17,15914
18,16568
19,16189
20,16066
