"lucro","total_HR"
1241,80
-2691,6
-868,38
659,67
-2238,13
-1698,22
1081,76
-2112,16
-1355,29
-1562,25
-739,41
1153,79
-1998,19
791,70
-2326,12
-974,36
901,73
19,55
101,57
1003,74
-1832,20
-585,43
-1454,27
-1262,31
-2488,11
-380,47
-185,51
203,58
-2613,9
567,66
317,61
-2044,17
232,60
-85,54
489,65
815,71
-316,49
-686,42
-148,53
454,63
-447,46
400,62
-2643,7
-279,50
-2514,10
-1177,33
-1087,34
-1056,35
-1514,26
-1210,32
-520,45
-1773,21
