"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","NMAE_rf","RRSE_rf","R2_rf","NMAE_naive","RRSE_naive","R2_naive"
"Richmond",1,"2012-07-29","2014-03-22",602,"2014-03-23","2014-03-29",7,0.9098,36.606,0.866,1.0307,38.5153,0.8517
"Richmond",2,"2012-07-29","2014-03-29",609,"2014-03-30","2014-04-05",7,1.9608,81.781,0.3312,1.1745,49.1481,0.7584
"Richmond",3,"2012-07-29","2014-04-05",616,"2014-04-06","2014-04-12",7,1.293,44.2009,0.8046,0.9588,31.6602,0.8998
"Richmond",4,"2012-07-29","2014-04-12",623,"2014-04-13","2014-04-19",7,1.6224,58.158,0.6618,2.4928,74.3886,0.4466
"Richmond",5,"2012-07-29","2014-04-19",630,"2014-04-20","2014-04-26",7,3.9548,178.1883,-2.1751,3.2838,172.8047,-1.9861
"Richmond",6,"2012-07-29","2014-04-26",637,"2014-04-27","2014-05-03",7,3.2035,116.8863,-0.3662,1.7977,65.0574,0.5768
"Richmond",7,"2012-07-29","2014-05-03",644,"2014-05-04","2014-05-10",7,1.6053,54.4,0.7041,0.5513,21.6081,0.9533
"Richmond",8,"2012-07-29","2014-05-10",651,"2014-05-11","2014-05-17",7,2.371,153.6847,-1.3619,1.0067,37.0227,0.8629
"Richmond",9,"2012-07-29","2014-05-17",658,"2014-05-18","2014-05-24",7,6.2924,83.2102,0.3076,7.6942,96.6746,0.0654
"Richmond",10,"2012-07-29","2014-05-24",665,"2014-05-25","2014-05-31",7,6.411,47.0042,0.7791,19.2953,151.4439,-1.2935
"Richmond",11,"2012-07-29","2014-05-31",672,"2014-06-01","2014-06-07",7,2.1965,153.0919,-1.3437,12.3442,1110.158,-122.2451
"Richmond",12,"2012-07-29","2014-06-07",679,"2014-06-08","2014-06-14",7,1.1171,51.1652,0.7382,0.5753,30.8957,0.9045
