"Algoritmo","Objetivo","Mediana","Media","Min","Max","SD"
"MC","O1",11034.5,13842.5,8678,26581,6874.78
"MC","O2",166,67.6,-349,206,234.04
"HC","O1",13171,16569.33,10738,30926,7759.12
"HC","O2",-930,-923,-938,-891,17.11
"SANN","O1",11186,11173.33,7156,15766,3021.37
"SANN","O2",947.5,941,853,1022,73.69
"GA (rbga)","O1",16109,19635.67,12773,36190,8873.61
"GA (rbga)","O2",210.5,210.33,147,271,42.72
"NSGA-II","O3",473.5,296,-717,628,513.36
