"semana","Bal_d1","Bal_d2","Bal_d3","Bal_d4","Bal_d5","Bal_d6","Bal_d7","Lan_d1","Lan_d2","Lan_d3","Lan_d4","Lan_d5","Lan_d6","Lan_d7","Phi_d1","Phi_d2","Phi_d3","Phi_d4","Phi_d5","Phi_d6","Phi_d7","Ric_d1","Ric_d2","Ric_d3","Ric_d4","Ric_d5","Ric_d6","Ric_d7"
1,93,58,53,59,59,101,162,144,88,81,82,95,117,175,245,180,160,169,198,243,307,71,47,46,47,54,69,92
2,82,87,47,65,64,79,133,129,82,74,83,91,111,152,231,177,149,160,169,212,320,69,43,39,43,47,59,93
3,107,60,56,67,84,80,614,137,79,81,78,95,118,499,251,142,136,142,182,238,1226,69,40,40,41,48,60,336
4,531,436,95,59,58,96,162,536,515,141,94,93,114,163,1156,909,292,154,177,232,316,297,219,70,47,52,62,96
5,72,90,50,63,56,87,147,193,99,85,88,94,115,157,449,281,166,177,199,252,348,108,59,46,48,51,64,92
6,80,38,46,50,50,70,130,118,92,84,82,85,94,133,238,162,154,164,170,203,314,76,48,45,46,49,56,79
