"semana","MC_O1","MC_O2","HC_O1","HC_O2","SANN_O1","SANN_O2","GA_O1","GA_O2","NSGA2_O3"
1,10084,166,12214,-891,10846,1022,14931,238,542
2,9130,174,11553,-932,8873,959,13765,207,626
3,16597,-349,19857,-917,11526,853,22868,185,292
4,26581,NA,30926,-930,15766,859,36190,147,-717
5,11985,141,14128,-938,12873,1017,17287,214,405
6,8678,206,10738,-930,7156,936,12773,271,628
