"Loja","Date","Real","Previsto_ARIMA","Previsto_SNaive","Erro_Absoluto_ARIMA","Erro_Absoluto_SNaive"
"Baltimore",2014-06-08,97,120.88,95,23.88,2
"Baltimore",2014-06-09,61,117.04,61,56.04,0
"Baltimore",2014-06-10,65,105.49,73,40.49,8
"Baltimore",2014-06-11,71,105.78,71,34.78,0
"Baltimore",2014-06-12,65,105.12,69,40.12,4
"Baltimore",2014-06-13,89,106.41,77,17.41,12
"Baltimore",2014-06-14,125,108.37,118,16.63,7
