"Loja","Variavel","Tipo","Lag","Correlacao","AbsCor"
"Lancaster","Pct_On_Sale","CCF",21,0.19344443454653,0.19344443454653
"Lancaster","Pct_On_Sale","CCF",22,0.185109194835886,0.185109194835886
"Lancaster","Pct_On_Sale","CCF",28,0.176724043116102,0.176724043116102
"Lancaster","Pct_On_Sale","CCF",20,0.173039766559948,0.173039766559948
"Lancaster","Pct_On_Sale","CCF",2,0.158183334604441,0.158183334604441
"Lancaster","Pct_On_Sale","CCF",-1,0.153632943950415,0.153632943950415
"Philadelphia","Num_Customers","ACF_Num_Customers",0,1,1
"Philadelphia","Num_Customers","ACF_Num_Customers",1,0.552041181064999,0.552041181064999
"Philadelphia","Num_Customers","ACF_Num_Customers",28,0.340287323051496,0.340287323051496
"Philadelphia","Num_Customers","ACF_Num_Customers",2,0.2143185669538,0.2143185669538
"Philadelphia","Num_Customers","ACF_Num_Customers",27,0.194487396508542,0.194487396508542
"Philadelphia","Num_Customers","ACF_Num_Customers",7,0.164818515552507,0.164818515552507
"Philadelphia","Num_Customers","ACF_Num_Customers",21,0.151491267931763,0.151491267931763
"Philadelphia","Num_Customers","ACF_Num_Customers",17,-0.123806983686996,0.123806983686996
"Philadelphia","Sales","CCF",0,0.788860760568161,0.788860760568161
"Philadelphia","Sales","CCF",-1,0.459982009457101,0.459982009457101
"Philadelphia","Sales","CCF",1,0.445822713537128,0.445822713537128
"Philadelphia","Sales","CCF",-28,0.321520555962803,0.321520555962803
"Philadelphia","Sales","CCF",28,0.274541073437317,0.274541073437317
"Philadelphia","Sales","CCF",-2,0.262834922546863,0.262834922546863
"Philadelphia","Sales","CCF",-7,0.238571723054886,0.238571723054886
"Philadelphia","Sales","CCF",7,0.23169478316276,0.23169478316276
"Philadelphia","TouristEvent","CCF",0,0.797180646732907,0.797180646732907
"Philadelphia","TouristEvent","CCF",1,0.53781606911238,0.53781606911238
"Philadelphia","TouristEvent","CCF",-1,0.372985947886459,0.372985947886459
"Philadelphia","TouristEvent","CCF",2,0.270719050504994,0.270719050504994
"Philadelphia","TouristEvent","CCF",28,0.222170539878105,0.222170539878105
"Philadelphia","TouristEvent","CCF",-28,0.210967460622859,0.210967460622859
"Philadelphia","TouristEvent","CCF",-27,0.19539826126126,0.19539826126126
"Philadelphia","TouristEvent","CCF",-3,-0.122108593927955,0.122108593927955
"Philadelphia","Num_Employees","CCF",0,0.795272455215853,0.795272455215853
"Philadelphia","Num_Employees","CCF",-1,0.512579139610828,0.512579139610828
"Philadelphia","Num_Employees","CCF",1,0.44599862188057,0.44599862188057
"Philadelphia","Num_Employees","CCF",28,0.310739775568725,0.310739775568725
"Philadelphia","Num_Employees","CCF",-28,0.307728304420266,0.307728304420266
"Philadelphia","Num_Employees","CCF",-2,0.236506809566133,0.236506809566133
"Philadelphia","Num_Employees","CCF",27,0.221236636086215,0.221236636086215
"Philadelphia","Num_Employees","CCF",20,0.193207551087209,0.193207551087209
"Philadelphia","Pct_On_Sale","CCF",0,0.309059313631842,0.309059313631842
"Philadelphia","Pct_On_Sale","CCF",1,0.301895282358574,0.301895282358574
"Philadelphia","Pct_On_Sale","CCF",21,0.260085587931764,0.260085587931764
"Philadelphia","Pct_On_Sale","CCF",20,0.246468825748925,0.246468825748925
"Philadelphia","Pct_On_Sale","CCF",22,0.241343431629594,0.241343431629594
"Philadelphia","Pct_On_Sale","CCF",2,0.233438363999157,0.233438363999157
"Philadelphia","Pct_On_Sale","CCF",28,0.229956535430756,0.229956535430756
"Philadelphia","Pct_On_Sale","CCF",-1,0.228786852750683,0.228786852750683
"Richmond","Num_Customers","ACF_Num_Customers",0,1,1
"Richmond","Num_Customers","ACF_Num_Customers",1,0.548223572073352,0.548223572073352
"Richmond","Num_Customers","ACF_Num_Customers",28,0.338261312287217,0.338261312287217
"Richmond","Num_Customers","ACF_Num_Customers",2,0.214758978747849,0.214758978747849
"Richmond","Num_Customers","ACF_Num_Customers",27,0.196443831897844,0.196443831897844
"Richmond","Num_Customers","ACF_Num_Customers",7,0.171741087119337,0.171741087119337
"Richmond","Num_Customers","ACF_Num_Customers",21,0.153964453663151,0.153964453663151
"Richmond","Num_Customers","ACF_Num_Customers",14,0.125955767081936,0.125955767081936
"Richmond","Sales","CCF",0,0.787899349581381,0.787899349581381
"Richmond","Sales","CCF",1,0.480165315543665,0.480165315543665
"Richmond","Sales","CCF",-1,0.467543242258071,0.467543242258071
"Richmond","Sales","CCF",-28,0.33575289193358,0.33575289193358
"Richmond","Sales","CCF",28,0.310921130467403,0.310921130467403
"Richmond","Sales","CCF",2,0.262035822387795,0.262035822387795
"Richmond","Sales","CCF",-2,0.261570440771712,0.261570440771712
"Richmond","Sales","CCF",7,0.24296815017529,0.24296815017529
