"Date","Real","Previsto","Erro_Absoluto"
2014-06-08,64,81.16,17.16
2014-06-09,40,83.92,43.92
2014-06-10,42,77.34,35.34
2014-06-11,46,76.93,30.93
2014-06-12,42,75.08,33.08
2014-06-13,58,75.45,17.45
2014-06-14,82,76.14,5.86
