"Date","Real","Previsto","Erro_Absoluto"
2014-06-08,230,274.38,44.38
2014-06-09,144,273.45,129.45
2014-06-10,154,241.61,87.61
2014-06-11,168,240.97,72.97
2014-06-12,154,234.98,80.98
2014-06-13,211,238.07,27.07
2014-06-14,298,240.49,57.51
