"Date","Real","Previsto","Erro_Absoluto"
2014-06-08,97,120.88,23.88
2014-06-09,61,117.04,56.04
2014-06-10,65,105.49,40.49
2014-06-11,71,105.78,34.78
2014-06-12,65,105.12,40.12
2014-06-13,89,106.41,17.41
2014-06-14,125,108.37,16.63
