"algoritmo","objetivo","N_runs","mediana","media","min","max","sd","tempo_med","popSize","iter"
"GA (rbga)","O1",20,17175.5,17126.7,16782,17419,169.374110990093,3.05004999999999,100,200
"GA (rbga)","O2",20,454,447.15,351,530,52.4688127918812,2.34070000000002,100,200
