"Loja","Media_NMAE_rf","Media_RRSE_rf","Media_R2_rf","Media_NMAE_naive","Media_RRSE_naive","Media_R2_naive"
"Baltimore",1.2414,51.1669,0.5734,3.6962,157.448,-10.0021
"Lancaster",1.0088,59.5211,0.4856,2.6763,160.9928,-10.1625
"Philadelphia",1.8903,51.3534,0.6023,5.4355,154.3622,-9.847
"Richmond",1.3035,47.078,0.6238,4.3504,156.6148,-9.9338
